﻿時間,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2025-04-10 09:14:19,商業理財(11),心理勵志(9),文學小說(8),宗教命理(5),醫療保健(4),生活風格(3),語言學習(2),人文社科(2),旅遊(1),飲食(1),親子教養(1),電腦資訊(1),童書/青少年文學(1),自然科普(1),,,,,,
2025-04-10 11:02:36,商業理財(11),心理勵志(8),文學小說(6),生活風格(5),宗教命理(5),人文社科(4),語言學習(3),醫療保健(3),專業/教科書/政府出版品(2),旅遊(1),飲食(1),親子教養(1),,,,,,,,
2025-04-10 11:38:44,商業理財(11),心理勵志(10),文學小說(7),宗教命理(5),人文社科(5),生活風格(4),醫療保健(2),專業/教科書/政府出版品(1),旅遊(1),飲食(1),親子教養(1),童書/青少年文學(1),語言學習(1),,,,,,,
2025-04-10 12:22:52,商業理財(12),心理勵志(11),文學小說(5),宗教命理(4),生活風格(4),人文社科(4),童書/青少年文學(3),飲食(2),醫療保健(2),旅遊(1),專業/教科書/政府出版品(1),親子教養(1),,,,,,,,
2025-04-10 13:20:02,商業理財(12),心理勵志(10),人文社科(5),生活風格(4),文學小說(4),宗教命理(4),童書/青少年文學(3),飲食(2),親子教養(2),醫療保健(2),專業/教科書/政府出版品(1),旅遊(1),,,,,,,,
2025-04-10 14:26:09,商業理財(13),心理勵志(10),人文社科(6),生活風格(4),文學小說(4),宗教命理(4),飲食(2),親子教養(2),童書/青少年文學(2),旅遊(1),專業/教科書/政府出版品(1),醫療保健(1),,,,,,,,
2025-04-10 15:19:12,商業理財(14),心理勵志(8),人文社科(7),生活風格(4),宗教命理(4),文學小說(3),飲食(2),國中小參考書(2),童書/青少年文學(2),親子教養(2),旅遊(1),專業/教科書/政府出版品(1),,,,,,,,
2025-04-10 16:24:41,商業理財(13),心理勵志(7),人文社科(7),宗教命理(4),生活風格(4),文學小說(4),親子教養(2),語言學習(2),飲食(2),國中小參考書(2),醫療保健(1),專業/教科書/政府出版品(1),旅遊(1),,,,,,,
2025-04-10 17:20:47,商業理財(14),心理勵志(8),人文社科(5),生活風格(4),宗教命理(4),文學小說(4),醫療保健(2),語言學習(2),飲食(2),國中小參考書(2),專業/教科書/政府出版品(1),旅遊(1),親子教養(1),,,,,,,
2025-04-10 18:20:55,商業理財(16),人文社科(7),心理勵志(5),宗教命理(4),生活風格(4),文學小說(3),國中小參考書(2),語言學習(2),飲食(2),親子教養(2),醫療保健(1),旅遊(1),專業/教科書/政府出版品(1),,,,,,,
2025-04-10 19:17:30,商業理財(16),心理勵志(8),人文社科(5),宗教命理(4),生活風格(4),文學小說(3),親子教養(2),語言學習(2),飲食(2),醫療保健(1),專業/教科書/政府出版品(1),旅遊(1),國中小參考書(1),,,,,,,
2025-04-10 20:34:38,商業理財(16),心理勵志(7),人文社科(5),宗教命理(4),生活風格(3),藝術設計(3),文學小說(3),醫療保健(2),語言學習(2),飲食(2),專業/教科書/政府出版品(1),旅遊(1),親子教養(1),,,,,,,
2025-04-10 21:29:30,商業理財(17),心理勵志(8),人文社科(6),宗教命理(4),文學小說(3),生活風格(3),醫療保健(2),語言學習(2),飲食(2),親子教養(1),專業/教科書/政府出版品(1),旅遊(1),,,,,,,,
2025-04-10 22:19:25,商業理財(17),心理勵志(9),人文社科(5),文學小說(4),宗教命理(4),生活風格(3),醫療保健(2),語言學習(2),飲食(2),親子教養(1),專業/教科書/政府出版品(1),,,,,,,,,
2025-04-10 23:20:58,商業理財(16),心理勵志(8),人文社科(6),宗教命理(4),文學小說(3),生活風格(3),語言學習(3),醫療保健(2),飲食(2),電腦資訊(1),親子教養(1),專業/教科書/政府出版品(1),,,,,,,,
2025-04-11 00:23:21,心理勵志(10),商業理財(10),人文社科(9),文學小說(7),宗教命理(6),醫療保健(3),童書/青少年文學(2),考試用書(2),生活風格(1),,,,,,,,,,,
2025-04-11 01:18:30,文學小說(15),商業理財(6),童書/青少年文學(6),人文社科(5),醫療保健(4),心理勵志(2),宗教命理(2),飲食(2),語言學習(2),生活風格(2),藝術設計(2),旅遊(1),考試用書(1),,,,,,,
2025-04-11 02:24:13,文學小說(12),商業理財(9),心理勵志(5),醫療保健(4),人文社科(4),語言學習(3),童書/青少年文學(3),藝術設計(2),宗教命理(2),考試用書(2),生活風格(1),飲食(1),旅遊(1),電腦資訊(1),,,,,,
2025-04-11 03:16:33,商業理財(11),文學小說(9),心理勵志(5),童書/青少年文學(5),人文社科(5),醫療保健(4),語言學習(3),考試用書(2),生活風格(1),飲食(1),宗教命理(1),藝術設計(1),旅遊(1),電腦資訊(1),,,,,,
2025-04-11 04:20:47,商業理財(13),文學小說(9),心理勵志(6),人文社科(6),醫療保健(4),童書/青少年文學(4),語言學習(2),生活風格(1),飲食(1),藝術設計(1),考試用書(1),宗教命理(1),旅遊(1),,,,,,,
2025-04-11 05:18:22,商業理財(13),文學小說(9),心理勵志(6),人文社科(6),醫療保健(5),童書/青少年文學(3),宗教命理(2),語言學習(2),生活風格(1),飲食(1),藝術設計(1),考試用書(1),,,,,,,,
2025-04-11 06:20:03,商業理財(14),文學小說(9),心理勵志(6),醫療保健(5),人文社科(5),童書/青少年文學(4),宗教命理(2),飲食(1),考試用書(1),生活風格(1),藝術設計(1),語言學習(1),,,,,,,,
2025-04-11 07:19:14,商業理財(14),文學小說(8),心理勵志(6),醫療保健(5),童書/青少年文學(5),人文社科(4),宗教命理(2),生活風格(2),飲食(1),考試用書(1),藝術設計(1),語言學習(1),,,,,,,,
2025-04-11 09:14:49,語言學習(12),商業理財(7),心理勵志(7),文學小說(6),人文社科(4),醫療保健(3),飲食(2),考試用書(2),宗教命理(2),生活風格(1),童書/青少年文學(1),藝術設計(1),電腦資訊(1),親子教養(1),,,,,,
